Time elapsed was 77236389ns or 0.077236389s,,0.077236389
Time elapsed was 64101282ns or 0.064101282s,,0.064101282
Time elapsed was 66570839ns or 0.066570839s,,0.066570839
Time elapsed was 64330161ns or 0.064330161s,,0.064330161
Time elapsed was 64021155ns or 0.064021155s,,0.064021155
Time elapsed was 67398603ns or 0.067398603s,,0.067398603
Time elapsed was 64256832ns or 0.064256832s,,0.064256832
Time elapsed was 64085194ns or 0.064085194s,,0.064085194
Time elapsed was 64036026ns or 0.064036026s,,0.064036026
Time elapsed was 63962769ns or 0.063962769s,,0.063962769
,,
mean,,0.065999925
