Time elapsed was 329252ns or 0.000329252s,,329252
"Time elapsed was 528417ns or 0.000528417s
",,528417
Time elapsed was 635597ns or 0.000635597s,,635597
Time elapsed was 489630ns or 0.000489630s,,489630
Time elapsed was 536809ns or 0.000536809s,,536809
Time elapsed was 492865ns or 0.000492865s,,492865
Time elapsed was 452144ns or 0.000452144s,,452144
Time elapsed was 542867ns or 0.000542867s,,542867
Time elapsed was 546135ns or 0.000546135s,,546135
Time elapsed was 317511ns or 0.000317511s,,317511
,,
,,
mean,,487122.7
